"movie_title","director_name","duration","actor_1_name","actor_2_name","actor_3_name","language","gross","budget","movie_facebook_likes","country","imdb_score","plot_keywords","genres_1","genres_2","genres_3","profit","returnOnInvesement"
"Batman v Superman: Dawn of Justice ","Zack Snyder",183,"Henry Cavill","Lauren Cohan","Alan D. Purwin","English",330249062,2.5e+08,197000,"USA",6.9,"based on comic book|batman|sequel to a reboot|superhero|superman","Action","Adventure","Sci-Fi",80249062,32.0996248
"Superman Returns ","Bryan Singer",169,"Kevin Spacey","Marlon Brando","Frank Langella","English",200069408,2.09e+08,0,"USA",6.1,"crystal|epic|lex luthor|lois lane|return to earth","Action","Adventure","Sci-Fi",-8930592,-4.27301052631579
"Quantum of Solace ","Marc Forster",106,"Giancarlo Giannini","Mathieu Amalric","Rory Kinnear","English",168368427,2e+08,0,"UK",6.7,"action hero|attempted rape|bond girl|official james bond series|revenge","Action","Adventure",NA,-31631573,-15.8157865
"Pirates of the Caribbean: Dead Man's Chest ","Gore Verbinski",151,"Johnny Depp","Orlando Bloom","Jack Davenport","English",423032628,2.25e+08,5000,"USA",7.3,"box office hit|giant squid|heart|liar's dice|monster","Action","Adventure","Fantasy",198032628,88.0145013333333
"The Lone Ranger ","Gore Verbinski",150,"Johnny Depp","Ruth Wilson","Tom Wilkinson","English",89289910,2.15e+08,48000,"USA",6.5,"horse|outlaw|texas|texas ranger|train","Action","Adventure","Western",-125710090,-58.4698093023256
"Man of Steel ","Zack Snyder",143,"Henry Cavill","Christopher Meloni","Harry Lennix","English",291021565,2.25e+08,118000,"USA",7.2,"based on comic book|british actor playing american character|final battle|origin of hero|reboot","Action","Adventure","Fantasy",66021565,29.3429177777778
"The Chronicles of Narnia: Prince Caspian ","Andrew Adamson",150,"Peter Dinklage","Pierfrancesco Favino","Damián Alcázar","English",141614023,2.25e+08,0,"USA",6.6,"brother brother relationship|brother sister relationship|good versus evil|king|narnia","Action","Adventure","Family",-83385977,-37.0604342222222
"The Avengers ","Joss Whedon",173,"Chris Hemsworth","Robert Downey Jr.","Scarlett Johansson","English",623279547,2.2e+08,123000,"USA",8.1,"alien invasion|assassin|battle|iron man|soldier","Action","Adventure","Sci-Fi",403279547,183.308885
"Pirates of the Caribbean: On Stranger Tides ","Rob Marshall",136,"Johnny Depp","Sam Claflin","Stephen Graham","English",241063875,2.5e+08,58000,"USA",6.7,"blackbeard|captain|pirate|revenge|soldier","Action","Adventure","Fantasy",-8936125,-3.57445
"Men in Black 3 ","Barry Sonnenfeld",106,"Will Smith","Michael Stuhlbarg","Nicole Scherzinger","English",179020854,2.25e+08,40000,"USA",6.8,"alien|criminal|m.i.b.|maximum security prison|prison","Action","Adventure","Comedy",-45979146,-20.435176
"The Hobbit: The Battle of the Five Armies ","Peter Jackson",164,"Aidan Turner","Adam Brown","James Nesbitt","English",255108370,2.5e+08,65000,"New Zealand",7.5,"army|elf|hobbit|middle earth|orc","Adventure","Fantasy",NA,5108370,2.043348
"The Amazing Spider-Man ","Marc Webb",153,"Emma Stone","Andrew Garfield","Chris Zylka","English",262030663,2.3e+08,56000,"USA",7,"lizard|outcast|spider|spider man|teenager","Action","Adventure","Fantasy",32030663,13.9263752173913
"Robin Hood ","Ridley Scott",156,"Mark Addy","William Hurt","Scott Grimes","English",105219735,2e+08,17000,"USA",6.7,"1190s|archer|england|king of england|robin hood","Action","Adventure","Drama",-94780265,-47.3901325
"The Hobbit: The Desolation of Smaug ","Peter Jackson",186,"Aidan Turner","Adam Brown","James Nesbitt","English",258355354,2.25e+08,83000,"USA",7.9,"dwarf|elf|lake town|mountain|sword and sorcery","Adventure","Fantasy",NA,33355354,14.8246017777778
"The Golden Compass ","Chris Weitz",113,"Christopher Lee","Eva Green","Kristin Scott Thomas","English",70083519,1.8e+08,0,"USA",6.1,"children|epic|friend|girl|quest","Adventure","Family","Fantasy",-109916481,-61.0647116666667
"King Kong ","Peter Jackson",201,"Naomi Watts","Thomas Kretschmann","Evan Parke","English",218051260,2.07e+08,0,"New Zealand",7.2,"animal name in title|ape abducts a woman|gorilla|island|king kong","Action","Adventure","Drama",11051260,5.3387729468599
"Titanic ","James Cameron",194,"Leonardo DiCaprio","Kate Winslet","Gloria Stuart","English",658672302,2e+08,26000,"USA",7.7,"artist|love|ship|titanic|wet","Drama","Romance",NA,458672302,229.336151
"Captain America: Civil War ","Anthony Russo",147,"Robert Downey Jr.","Scarlett Johansson","Chris Evans","English",407197282,2.5e+08,72000,"USA",8.2,"based on comic book|knife|marvel cinematic universe|returning character killed off|superhero","Action","Adventure","Sci-Fi",157197282,62.8789128
"Battleship ","Peter Berg",131,"Liam Neeson","Alexander Skarsgård","Tadanobu Asano","English",65173160,2.09e+08,44000,"USA",5.9,"box office flop|hawaii|naval|oahu hawaii|ship","Action","Adventure","Sci-Fi",-143826840,-68.8166698564593
"Jurassic World ","Colin Trevorrow",124,"Bryce Dallas Howard","Judy Greer","Omar Sy","English",652177271,1.5e+08,150000,"USA",7,"dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor","Action","Adventure","Sci-Fi",502177271,334.784847333333
"Skyfall ","Sam Mendes",143,"Albert Finney","Helen McCrory","Rory Kinnear","English",304360277,2e+08,80000,"UK",7.8,"brawl|childhood home|computer cracker|intelligence agency|terrorist cell","Action","Adventure","Thriller",104360277,52.1801385
"Spider-Man 2 ","Sam Raimi",135,"J.K. Simmons","James Franco","Kirsten Dunst","English",373377893,2e+08,0,"USA",7.3,"death|doctor|scientist|super villain|tentacle","Action","Adventure","Fantasy",173377893,86.6889465
"Iron Man 3 ","Shane Black",195,"Robert Downey Jr.","Jon Favreau","Don Cheadle","English",408992272,2e+08,95000,"USA",7.2,"armor|explosion|human bomb|missile attack|terrorist","Action","Adventure","Sci-Fi",208992272,104.496136
"Alice in Wonderland ","Tim Burton",108,"Johnny Depp","Alan Rickman","Anne Hathaway","English",334185206,2e+08,24000,"USA",6.5,"alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion","Adventure","Family","Fantasy",134185206,67.092603
"X-Men: The Last Stand ","Brett Ratner",104,"Hugh Jackman","Kelsey Grammer","Daniel Cudmore","English",234360014,2.1e+08,0,"Canada",6.8,"battle|mutant|outrage|walking through a wall|x men","Action","Adventure","Fantasy",24360014,11.6000066666667
"Monsters University ","Dan Scanlon",104,"Steve Buscemi","Tyler Labine","Sean Hayes","English",268488329,2e+08,44000,"USA",7.3,"cheating|fraternity|monster|singing in a car|university","Adventure","Animation","Comedy",68488329,34.2441645
"Transformers: Revenge of the Fallen ","Michael Bay",150,"Glenn Morshower","Kevin Dunn","Ramon Rodriguez","English",402076689,2e+08,0,"USA",6,"autobot|decepticon|machine|sun|symbol","Action","Adventure","Sci-Fi",202076689,101.0383445
"Transformers: Age of Extinction ","Michael Bay",165,"Bingbing Li","Sophia Myles","Kelsey Grammer","English",245428137,2.1e+08,56000,"USA",5.7,"blockbuster|bumblebee the character|semi truck and trailer|texas|truck","Action","Adventure","Sci-Fi",35428137,16.8705414285714
"Oz the Great and Powerful ","Sam Raimi",130,"Tim Holmes","Mila Kunis","James Franco","English",234903076,2.15e+08,60000,"USA",6.4,"circus|magic|magician|oz|witch","Adventure","Family","Fantasy",19903076,9.25724465116279
"The Amazing Spider-Man 2 ","Marc Webb",142,"Emma Stone","Andrew Garfield","B.J. Novak","English",202853933,2e+08,41000,"USA",6.7,"costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager","Action","Adventure","Fantasy",2853933,1.4269665
"TRON: Legacy ","Joseph Kosinski",125,"Jeff Bridges","Olivia Wilde","James Frain","English",172051787,1.7e+08,30000,"USA",6.8,"arcade|bridge|disappearance|escape|warrior","Action","Adventure","Sci-Fi",2051787,1.20693352941176
"Cars 2 ","John Lasseter",106,"Joe Mantegna","Thomas Kretschmann","Eddie Izzard","English",191450875,2e+08,10000,"USA",6.3,"best friend|car race|conspiracy|gadget car|spy","Adventure","Animation","Comedy",-8549125,-4.2745625
"Green Lantern ","Martin Campbell",123,"Ryan Reynolds","Temuera Morrison","Taika Waititi","English",116593191,2e+08,24000,"USA",5.6,"autopsy|lantern|planet|ring|test pilot","Action","Adventure","Sci-Fi",-83406809,-41.7034045
"Toy Story 3 ","Lee Unkrich",103,"Tom Hanks","John Ratzenberger","Don Rickles","English",414984497,2e+08,30000,"USA",8.3,"college|day care|escape|teddy bear|toy","Adventure","Animation","Comedy",214984497,107.4922485
"Terminator Salvation ","McG",118,"Christian Bale","Bryce Dallas Howard","Common","English",125320003,2e+08,0,"USA",6.6,"death row|future|machine|rescue|skynet","Action","Adventure","Sci-Fi",-74679997,-37.3399985
"Furious 7 ","James Wan",140,"Jason Statham","Paul Walker","Vin Diesel","English",350034110,1.9e+08,94000,"USA",7.2,"car falling off a cliff|hospital|revenge|star died before release|terrorist","Action","Crime","Thriller",160034110,84.2284789473684
"World War Z ","Marc Forster",123,"Peter Capaldi","Brad Pitt","Mireille Enos","English",202351611,1.9e+08,129000,"USA",7,"chaos|disease|infection|pandemic|zombie","Action","Adventure","Horror",12351611,6.50084789473684
"X-Men: Days of Future Past ","Bryan Singer",149,"Jennifer Lawrence","Peter Dinklage","Hugh Jackman","English",233914986,2e+08,82000,"USA",8,"dystopia|super strength|supernatural power|time paradox|time travel","Action","Adventure","Fantasy",33914986,16.957493
"Star Trek Into Darkness ","J.J. Abrams",132,"Benedict Cumberbatch","Bruce Greenwood","Noel Clarke","English",228756232,1.9e+08,92000,"USA",7.8,"admiral|captain|manhunt|mission|space","Action","Adventure","Sci-Fi",38756232,20.3980168421053
"Jack the Giant Slayer ","Bryan Singer",114,"Eddie Marsan","Ewen Bremner","Ralph Brown","English",65171860,1.95e+08,22000,"USA",6.3,"bean|giant|king|no opening credits|princess","Adventure","Fantasy",NA,-129828140,-66.5785333333333
"The Great Gatsby ","Baz Luhrmann",143,"Leonardo DiCaprio","Elizabeth Debicki","Steve Bisley","English",144812796,1.05e+08,115000,"Australia",7.3,"ingratitude|mansion|party|title appears in writing|tragedy","Drama","Romance",NA,39812796,37.9169485714286
"Prince of Persia: The Sands of Time ","Mike Newell",116,"Jake Gyllenhaal","Richard Coyle","Reece Ritchie","English",90755643,2e+08,23000,"USA",6.6,"alamut|dagger|king|persia|princess","Action","Adventure","Fantasy",-109244357,-54.6221785
"Pacific Rim ","Guillermo del Toro",131,"Charlie Hunnam","Clifton Collins Jr.","Larry Joe Campbell","English",101785482,1.9e+08,83000,"USA",7,"giant monster|kaiju|pilot|portal|robot","Action","Adventure","Sci-Fi",-88214518,-46.4286936842105
"Transformers: Dark of the Moon ","Michael Bay",154,"Glenn Morshower","Lester Speight","Kevin Dunn","English",352358779,1.95e+08,46000,"USA",6.3,"autobot|decepticon|job interview|moon|spacecraft","Action","Adventure","Sci-Fi",157358779,80.6968097435898
"Indiana Jones and the Kingdom of the Crystal Skull ","Steven Spielberg",122,"Harrison Ford","Ray Winstone","Jim Broadbent","English",317011114,1.85e+08,5000,"USA",6.2,"cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957","Action","Adventure","Fantasy",132011114,71.3573589189189
"The Good Dinosaur ","Peter Sohn",93,"A.J. Buckley","Jack McGraw","Peter Sohn","English",123070338,2e+07,20000,"USA",6.8,"apatosaurus|asteroid|dinosaur|fear|river","Adventure","Animation","Comedy",103070338,515.35169
"Brave ","Mark Andrews",93,"Kelly Macdonald","John Ratzenberger","Julie Walters","English",237282182,1.85e+08,39000,"USA",7.2,"archery|coming of age|female warrior|princess|rebellious daughter","Adventure","Animation","Comedy",52282182,28.2606389189189
"Star Trek Beyond ","Justin Lin",122,"Sofia Boutella","Melissa Roxburgh","Lydia Wilson","English",130468626,1.85e+08,30000,"USA",7.5,"hatred|sequel|space opera|star trek|third part","Action","Adventure","Sci-Fi",-54531374,-29.4764183783784
"WALL·E ","Andrew Stanton",98,"John Ratzenberger","Fred Willard","Jeff Garlin","English",223806889,1.8e+08,16000,"USA",8.4,"earth|obesity|plant|robot|soil","Adventure","Animation","Family",43806889,24.3371605555556
"Rush Hour 3 ","Brett Ratner",91,"Tzi Ma","Dana Ivey","Noémie Lenoir","English",140080850,1.4e+08,0,"USA",6.2,"ambassador|assassination|chinese|french|triad","Action","Comedy","Crime",80850,0.05775
"2012 ","Roland Emmerich",158,"Oliver Platt","Liam James","Tom McCarthy","English",166112167,2e+08,13000,"USA",5.8,"ark|catastrophe|geologist|president|writer","Action","Adventure","Sci-Fi",-33887833,-16.9439165
"A Christmas Carol ","Robert Zemeckis",96,"Robin Wright","Colin Firth","Gary Oldman","English",137850096,2e+08,0,"USA",6.8,"charles dickens|christmas|christmas eve|ghost|scrooge","Animation","Drama","Family",-62149904,-31.074952
"Jupiter Ascending ","Lana Wachowski",127,"Channing Tatum","Mila Kunis","Eddie Redmayne","English",47375327,1.76e+08,44000,"USA",5.4,"box office flop|critically bashed|planet earth|space opera|woman in bra and panties","Action","Adventure","Sci-Fi",-128624673,-73.0822005681818
"The Legend of Tarzan ","David Yates",110,"Christoph Waltz","Alexander Skarsgård","Casper Crump","English",124051759,1.8e+08,29000,"USA",6.6,"africa|capture|jungle|male objectification|tarzan","Action","Adventure","Drama",-55948241,-31.0823561111111
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ","Andrew Adamson",150,"Jim Broadbent","Kiran Shah","Shane Rangi","English",291709845,1.8e+08,0,"USA",6.9,"hide and seek|lion|magic|professor|snow","Adventure","Family","Fantasy",111709845,62.061025
"X-Men: Apocalypse ","Bryan Singer",144,"Jennifer Lawrence","Michael Fassbender","Tye Sheridan","English",154985087,1.78e+08,54000,"USA",7.3,"mutant|superhero|superhero team|x men|year 1983","Action","Adventure","Sci-Fi",-23014913,-12.9297264044944
"The Dark Knight ","Christopher Nolan",152,"Christian Bale","Heath Ledger","Morgan Freeman","English",533316061,1.85e+08,37000,"USA",9,"based on comic book|dc comics|psychopath|star died before release|urban setting","Action","Crime","Drama",348316061,188.278951891892
"Up ","Pete Docter",96,"John Ratzenberger","Delroy Lindo","Jess Harnell","English",292979556,1.75e+08,27000,"USA",8.3,"balloon|house|promise|retirement|skeleton","Adventure","Animation","Comedy",117979556,67.4168891428571
"Monsters vs. Aliens ","Rob Letterman",94,"Amy Poehler","Rainn Wilson","Stephen Colbert","English",198332128,1.75e+08,0,"USA",6.5,"alien|alien invasion|alien space craft|giant|giantess","Action","Adventure","Animation",23332128,13.3326445714286
"Iron Man ","Jon Favreau",126,"Robert Downey Jr.","Jeff Bridges","Jon Favreau","English",318298180,1.4e+08,10000,"USA",7.9,"afghanistan|billionaire|inventor|playboy|u.s. air force","Action","Adventure","Sci-Fi",178298180,127.355842857143
"Hugo ","Martin Scorsese",126,"Chloë Grace Moretz","Christopher Lee","Ray Winstone","English",73820094,1.7e+08,42000,"USA",7.5,"automaton|mechanical|railway station|steampunk|train","Adventure","Drama","Family",-96179906,-56.5764152941176
"Wild Wild West ","Barry Sonnenfeld",106,"Will Smith","Salma Hayek","Bai Ling","English",113745408,1.7e+08,0,"USA",4.8,"buddy movie|general|inventor|steampunk|utah","Action","Comedy","Sci-Fi",-56254592,-33.0909364705882
"The Mummy: Tomb of the Dragon Emperor ","Rob Cohen",112,"Jet Li","Brendan Fraser","Russell Wong","English",102176165,1.45e+08,0,"USA",5.2,"army|china|emperor|mummy|shangri la","Action","Adventure","Fantasy",-42823835,-29.5336793103448
"Suicide Squad ","David Ayer",123,"Will Smith","Robin Atkin Downes","Ike Barinholtz","English",161087183,1.75e+08,80000,"USA",6.9,"based on comic book|critically bashed|father daughter relationship|reference to superman|super villain","Action","Adventure","Comedy",-13912817,-7.95018114285714
"Evan Almighty ","Tom Shadyac",96,"Jimmy Bennett","Morgan Freeman","Steve Carell","English",100289690,1.75e+08,2000,"USA",5.4,"ark|change|congressman|depiction of god|flood","Comedy","Family","Fantasy",-74710310,-42.6916057142857
"Edge of Tomorrow ","Doug Liman",113,"Tom Cruise","Lara Pulver","Noah Taylor","English",100189501,1.78e+08,77000,"USA",7.9,"alien|combat|dying repeatedly|end of the world|time loop","Action","Adventure","Sci-Fi",-77810499,-43.7137634831461
"Waterworld ","Kevin Reynolds",176,"Jeanne Tripplehorn","Rick Aviles","Zakes Mokae","English",88246220,1.75e+08,0,"USA",6.1,"future|sail|sea|smoker|water","Action","Adventure","Sci-Fi",-86753780,-49.5735885714286
"G.I. Joe: The Rise of Cobra ","Stephen Sommers",118,"Joseph Gordon-Levitt","Dennis Quaid","Leo Howard","English",150167630,1.75e+08,0,"USA",5.8,"cobra|gi joe|snake|train|warhead","Action","Adventure","Sci-Fi",-24832370,-14.1899257142857
"Inside Out ","Pete Docter",95,"Amy Poehler","Mindy Kaling","Phyllis Smith","English",356454367,1.75e+08,118000,"USA",8.3,"anger|joy|memory|running away|sadness","Adventure","Animation","Comedy",181454367,103.688209714286
"The Jungle Book ","Jon Favreau",106,"Scarlett Johansson","Bill Murray","Garry Shandling","English",362645141,1.75e+08,65000,"UK",7.8,"fire|jungle|remake|tiger|wolf","Adventure","Drama","Family",187645141,107.225794857143
"Iron Man 2 ","Jon Favreau",124,"Robert Downey Jr.","Scarlett Johansson","Jon Favreau","English",312057433,2e+08,18000,"USA",7,"hammer|military|monaco|revenge|tony stark","Action","Adventure","Sci-Fi",112057433,56.0287165
"Snow White and the Huntsman ","Rupert Sanders",132,"Chris Hemsworth","Kristen Stewart","Sam Claflin","English",155111815,1.7e+08,53000,"USA",6.1,"evil queen|fairy tale|magic|queen|snow white","Action","Adventure","Drama",-14888185,-8.75775588235294
"Maleficent ","Robert Stromberg",97,"Angelina Jolie Pitt","Sharlto Copley","Sam Riley","English",241407328,1.8e+08,89000,"USA",7,"curse|dark fantasy|fairy|king|kingdom","Action","Adventure","Family",61407328,34.1151822222222
"Dawn of the Planet of the Apes ","Matt Reeves",130,"Gary Oldman","Judy Greer","Kodi Smit-McPhee","English",208543795,1.7e+08,45000,"USA",7.6,"ape|dam|leader|post apocalypse|sequel","Action","Adventure","Drama",38543795,22.6728205882353
"The Lovers ","Roland Joffé",109,"Tamsin Egerton","Alice Englert","Bipasha Basu","English",25517500,2e+07,677,"Belgium",4.5,"1770s|british india|great barrier reef|india|ring","Action","Adventure","Romance",5517500,27.5875
"47 Ronin ","Carl Rinsch",128,"Keanu Reeves","Cary-Hiroyuki Tagawa","Jin Akanishi","English",38297305,1.75e+08,35000,"USA",6.3,"box office flop|ronin|samurai|shogun|tournament","Action","Adventure","Drama",-136702695,-78.1158257142857
"Captain America: The Winter Soldier ","Anthony Russo",136,"Scarlett Johansson","Chris Evans","Hayley Atwell","English",259746958,1.7e+08,55000,"USA",7.8,"conspiracy|heroism|megalomaniac|super soldier|world domination","Action","Adventure","Sci-Fi",89746958,52.7923282352941
"Shrek Forever After ","Mike Mitchell",93,"Jon Hamm","Kathy Griffin","Mary Kay Place","English",238371987,1.65e+08,0,"USA",6.4,"alternate world|fairy tale parody|female warrior|ogre|true love","Adventure","Animation","Comedy",73371987,44.4678709090909
"Tomorrowland ","Brad Bird",130,"Judy Greer","Chris Bauer","Thomas Robinson","English",93417865,1.9e+08,37000,"USA",6.5,"boy genius|futuristic city|inventor|teenage girl|time travel","Action","Adventure","Family",-96582135,-50.832702631579
"Big Hero 6 ","Don Hall",102,"Damon Wayans Jr.","Daniel Henney","Abraham Benrubi","English",222487711,1.65e+08,41000,"USA",7.9,"high tech|martial arts|masked man|robot|superhero","Action","Adventure","Animation",57487711,34.841036969697
"Wreck-It Ralph ","Rich Moore",101,"Jack McBrayer","Sarah Silverman","Joe Lo Truglio","English",189412677,1.65e+08,40000,"USA",7.8,"arcade|candy|glitch|king|medal","Adventure","Animation","Comedy",24412677,14.7955618181818
"The Polar Express ","Robert Zemeckis",100,"Tom Hanks","Eddie Deezen","Peter Scolari","English",665426,1.65e+08,10000,"USA",6.6,"boy|christmas|christmas eve|north pole|train","Adventure","Animation","Family",-164334574,-99.5967115151515
"Independence Day: Resurgence ","Roland Emmerich",120,"Vivica A. Fox","Sela Ward","Judd Hirsch","English",102315545,1.65e+08,67000,"USA",5.5,"alien|battle|defense|independence day|mothership","Action","Adventure","Sci-Fi",-62684455,-37.9905787878788
"How to Train Your Dragon ","Dean DeBlois",98,"Gerard Butler","America Ferrera","Craig Ferguson","English",217387997,1.65e+08,33000,"USA",8.2,"dragon|island|training|viking|village","Adventure","Animation","Family",52387997,31.7503012121212
"Terminator 3: Rise of the Machines ","Jonathan Mostow",109,"Nick Stahl","M.C. Gainey","Carolyn Hennesy","English",150350192,2e+08,0,"USA",6.4,"drifter|exploding truck|future|machine|skynet","Action","Sci-Fi",NA,-49649808,-24.824904
"Guardians of the Galaxy ","James Gunn",121,"Bradley Cooper","Vin Diesel","Djimon Hounsou","English",333130696,1.7e+08,96000,"USA",8.1,"bounty hunter|outer space|raccoon|talking animal|tree","Action","Adventure","Sci-Fi",163130696,95.9592329411765
"Interstellar ","Christopher Nolan",169,"Matthew McConaughey","Anne Hathaway","Mackenzie Foy","English",187991439,1.65e+08,349000,"USA",8.6,"black hole|father daughter relationship|saving the world|space travel|wormhole","Adventure","Drama","Sci-Fi",22991439,13.9342054545455
"Inception ","Christopher Nolan",148,"Leonardo DiCaprio","Tom Hardy","Joseph Gordon-Levitt","English",292568851,1.6e+08,175000,"USA",8.8,"ambiguous ending|corporate espionage|dream|subconscious|thief","Action","Adventure","Sci-Fi",132568851,82.855531875
"Godzilla Resurgence ","Hideaki Anno",120,"Mark Chinnery","Shin'ya Tsukamoto","Atsuko Maeda","Japanese",25517500,2e+07,0,"Japan",8.2,"blood|godzilla|monster|sequel","Action","Adventure","Drama",5517500,27.5875
"The Hobbit: An Unexpected Journey ","Peter Jackson",182,"Aidan Turner","Adam Brown","James Nesbitt","English",303001229,1.8e+08,166000,"USA",7.9,"dragon|dwarf|hobbit|orc|wizard","Adventure","Fantasy",NA,123001229,68.3340161111111
"The Fast and the Furious ","Rob Cohen",106,"Paul Walker","Vin Diesel","Jordana Brewster","English",144512310,3.8e+07,14000,"USA",6.7,"eighteen wheeler|illegal street racing|truck|trucker|undercover cop","Action","Crime","Thriller",106512310,280.295552631579
"The Curious Case of Benjamin Button ","David Fincher",166,"Brad Pitt","Jason Flemyng","Julia Ormond","English",127490802,1.5e+08,23000,"USA",7.8,"deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging","Drama","Fantasy","Romance",-22509198,-15.006132
"X-Men: First Class ","Matthew Vaughn",132,"Jennifer Lawrence","Michael Fassbender","Oliver Platt","English",146405371,1.6e+08,54000,"USA",7.8,"cia|cia agent|mutant|nuclear war|professor","Action","Adventure","Sci-Fi",-13594629,-8.496643125
"The Hunger Games: Mockingjay - Part 2 ","Francis Lawrence",137,"Jennifer Lawrence","Philip Seymour Hoffman","Josh Hutcherson","English",281666058,1.6e+08,38000,"USA",6.6,"death of sister|dystopia|execution|rebellion|revolution","Adventure","Sci-Fi",NA,121666058,76.04128625
"The Sorcerer's Apprentice ","Jon Turteltaub",109,"Nicolas Cage","Omar Benson Miller","Robert Capron","English",63143812,1.5e+08,11000,"USA",6.1,"chosen one|enchanted object|love|spell|training","Action","Adventure","Family",-86856188,-57.9041253333333
"Poseidon ","Wolfgang Petersen",98,"Jimmy Bennett","Mike Vogel","Andre Braugher","English",60655503,1.6e+08,0,"USA",5.6,"cruise|escape|ocean|passenger|water","Action","Adventure","Drama",-99344497,-62.090310625
"Alice Through the Looking Glass ","James Bobin",113,"Johnny Depp","Alan Rickman","Anne Hathaway","English",76846624,1.7e+08,30000,"USA",6.4,"clock|dark fantasy|mad hatter|queen|sequel","Adventure","Family","Fantasy",-93153376,-54.7961035294118
"Shrek the Third ","Chris Miller",93,"Justin Timberlake","Eric Idle","Rupert Everett","English",320706665,1.6e+08,0,"USA",6.1,"disney spoof|fairy tale|prince|princess|tough guy","Adventure","Animation","Comedy",160706665,100.441665625
"Warcraft ","Duncan Jones",123,"Dominic Cooper","Callum Rennie","Ruth Negga","English",46978995,1.6e+08,89000,"USA",7.3,"based on video game|fictional language|fictional war|orc|sword and sorcery","Action","Adventure","Fantasy",-113021005,-70.638128125
"Terminator Genisys ","Alan Taylor",126,"J.K. Simmons","Emilia Clarke","Matt Smith","English",89732035,1.55e+08,82000,"USA",6.6,"alternate timeline|cyborg|future|robot|time machine","Action","Adventure","Sci-Fi",-65267965,-42.108364516129
"The Chronicles of Narnia: The Voyage of the Dawn Treader ","Michael Apted",113,"Bruce Spence","Shane Rangi","Laura Brent","English",104383624,1.55e+08,11000,"USA",6.3,"dragon|king|mouse|quest|warrior","Adventure","Family","Fantasy",-50616376,-32.6557264516129
"Pearl Harbor ","Michael Bay",184,"Jennifer Garner","Jaime King","Mako","English",198539855,1.4e+08,0,"USA",6.1,"air raid|black smoke|japanese military|japanese navy|sunday","Action","Drama","History",58539855,41.8141821428571
"Transformers ","Michael Bay",144,"Zack Ward","Michael O'Neill","Kevin Dunn","English",318759914,1.5e+08,8000,"USA",7.1,"alien contact|autobot|decepticon|robot vs. robot|teenage hero","Action","Adventure","Sci-Fi",168759914,112.506609333333
